ID	FCLower	FCUpper
4620	-3	-1
9491	-3	-1
10454	1	3
6500	1	3
3984	-3	-1
7100	-3	-1
4067	-3	-1
60	1	3
23643	1	3
5716	-3	-1
7462	-3	-1
2212	1	3
59338	1	3
5702	1	3
1520	1	3
79931	-3	-1
57115	1	3
3656	-3	-1
5728	-3	-1
10552	1	3
719	-3	-1
9261	-3	-1
5699	-3	-1
30849	1	3
10163	1	3
9861	1	3
2533	-3	-1
64005	1	3
5688	1	3
1051	-3	-1
3553	1	3
7057	-3	-1
7124	-3	-1
9536	1	3
10563	-3	-1
2022	1	3
3578	1	3
2280	1	3
25805	1	3
4908	1	3
2920	1	3
9547	1	3
83891	1	3
4838	1	3
655	1	3
656	1	3
627	1	3
3626	1	3
8743	1	3
59067	1	3
2688	1	3
7292	-3	-1
6373	1	3
3572	1	3
650	1	3
7837	1	3
8996	1	3
3623	1	3
5335	1	3
3589	1	3
9392	1	3
27190	-3	-1
7043	1	3
57402	1	3
649	1	3
5617	1	3
10637	1	3
50604	1	3
8600	1	3
4804	1	3
3592	1	3
651	1	3
6464	1	3
3627	1	3
6386	1	3
3576	-3	-1
65997	1	3
7422	1	3
7042	1	3
729230	-3	-1
10673	1	3
8740	1	3
10131	1	3
9093	1	3
3976	1	3
3441	1	3
1440	1	3
6774	-3	-1
3624	1	3
64750	1	3
4091	1	3
9966	1	3
27018	1	3
3690	1	3
5196	-3	-1
3558	1	3
3678	1	3
53342	1	3
2660	1	3
3557	1	3
56832	1	3
3567	1	3
10488	1	3
51752	1	3
1946	1	3
4088	1	3
7424	1	3
2921	-3	-1
7048	1	3
2661	1	3
3569	-3	-1
8837	1	3
84639	1	3
10782	1	3
10464	1	3
4914	1	3
112744	-3	-1
27178	-3	-1
7185	1	3
50616	-3	-1
8565	1	3
10193	1	3
9518	1	3
3605	1	3
161742	1	3
3717	1	3
8717	1	3
8835	1	3
7423	1	3
836	1	3
10818	1	3
970	1	3
9573	1	3
944	1	3
8744	1	3
7186	1	3
92609	1	3
3570	-3	-1
10220	1	3
4087	1	3
959	-3	-1
27302	1	3
10148	1	3
6387	1	3
652	1	3
51192	1	3
3586	-3	-1
356	1	3
9210	1	3
2662	1	3
200734	1	3
7049	1	3
654	1	3
3594	1	3
4254	1	3
3444	1	3
116844	1	3
9034	1	3
1270	1	3
10116	1	3
7205	1	3
9244	1	3
3977	1	3
29097	1	3
3600	1	3
3562	1	3
653	1	3
10572	1	3
2056	-3	-1
4803	1	3
6376	1	3
6375	1	3
1893	1	3
9577	1	3
6868	1	3
11108	1	3
4092	1	3
3552	1	3
27189	-3	-1
8200	1	3
27179	-3	-1
4049	1	3
83729	1	3
7046	1	3
4283	-3	-1
23607	1	3
8741	1	3
26228	1	3
4591	1	3
8567	1	3
4050	1	3
3574	1	3
8995	1	3
1437	1	3
5008	1	3
1896	1	3
1489	1	3
26585	1	3
2658	1	3
282618	1	3
3596	-3	-1
23529	1	3
55367	1	3
3625	1	3
9618	1	3
637	1	3
353500	1	3
9994	1	3
2885	1	3
11009	1	3
3827	1	3
5729	-3	-1
132014	1	3
3487	-3	-1
3606	-3	-1
54959	-3	-1
2157	1	3
59340	-3	-1
8764	-3	-1
4973	1	3
5359	1	3
134	1	3
84632	1	3
